stop_category,t_stop_s,alpha_usd,T_res,lambda_over_alpha,stranger_may_halt
safety-rated monitored stop,2.0,1111.11,0.000720981,1386.0,True
"emergency stop, manual reset",60.0,33333.33,0.021186441,46.2,False
